"comparison_universe","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"All DTU genes","GO:0043122","regulation of canonical NF-kappaB signal transduction","14/431","42/2524",0.333333333333333,1.95204949729312,2.82290284121079,0.00740984528462715,0.566169881147751,0.549739192361954,"Cpne1/Btrc/Trem2/Wnt5a/Cav1/Brd4/Ikbkg/Cd74/Flot2/Ilk/Trim32/Trim39/Traf6/Sirt1",14
"All DTU genes","GO:0030336","negative regulation of cell migration","20/431","68/2524",0.294117647058824,1.72239661525863,2.73986158801752,0.00748346506076922,0.566169881147751,0.549739192361954,"Apoe/Dach1/Dag1/Egfl7/Eng/Krit1/Cav1/Nrg3/Ppargc1a/Timp1/Tmem196/Adgrg1/Ccl25/Cd74/Ilk/Ndrg4/Nkx2-1/Osbpl8/Sulf1/Nedd9",20
"All DTU genes","GO:0006469","negative regulation of protein kinase activity","11/431","30/2524",0.366666666666667,2.14725444702243,2.86803732340171,0.00776121855495277,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Pkig/Cav1/Spry1/Cdkn1a/Npm1/Smcr8/Sirt1/Zgpat/Hipk3",11
"All DTU genes","GO:0010657","muscle cell apoptotic process","11/431","30/2524",0.366666666666667,2.14725444702243,2.86803732340171,0.00776121855495277,0.566169881147751,0.549739192361954,"Gria4/Trip10/Dnmt1/Cav1/Camk2a/Ilk/Npm1/Pde1a/Ambra1/Sirt1/Dmpk",11
"All DTU genes","GO:0051606","detection of stimulus","12/431","34/2524",0.352941176470588,2.06687593831036,2.84162229520366,0.00778428859068858,0.566169881147751,0.549739192361954,"Dach1/Eng/Kit/Trem2/Cacnb3/Ly96/Pcp2/Cacnb4/Grik2/Ano1/Cep250/Rbp4",12
"All DTU genes","GO:0019221","cytokine-mediated signaling pathway","21/431","73/2524",0.287671232876712,1.68464545656803,2.6931971799693,0.008173440195373,0.566169881147751,0.549739192361954,"Cpne1/Cib1/Kit/Trem2/Wnt5a/Cav1/Ikbkg/Acsl1/Ccl25/Cd74/Ilk/Trim32/Traf6/Tjp2/Rffl/Hipk1/Sirt1/Bad/Crlf2/Otud4/Jak3",21
"All DTU genes","GO:0002763","positive regulation of myeloid leukocyte differentiation","6/431","12/2524",0.5,2.92807424593968,3.03750642533501,0.00878766388432955,0.566169881147751,0.549739192361954,"Trem2/Cd74/Gpr68/Traf6/Creb1/Nedd9",6
"All DTU genes","GO:1900273","positive regulation of long-term synaptic potentiation","6/431","12/2524",0.5,2.92807424593968,3.03750642533501,0.00878766388432955,0.566169881147751,0.549739192361954,"Hnrnpk/Pde9a/Adcy8/Shisa7/Creb1/Fmr1",6
"All DTU genes","GO:0002429","immune response-activating cell surface receptor signaling pathway","15/431","47/2524",0.319148936170213,1.86898356123809,2.72841314189817,0.00883588089162035,0.566169881147751,0.549739192361954,"Trem2/Cacnb3/Ecsit/Foxp1/Ly96/Ikbkg/Dgkz/Lck/Nfatc2/Trim32/Cacnb4/Khdrbs1/Traf6/Nr1h3/Stk11",15
"All DTU genes","GO:0007249","canonical NF-kappaB signal transduction","15/431","47/2524",0.319148936170213,1.86898356123809,2.72841314189817,0.00883588089162035,0.566169881147751,0.549739192361954,"Cpne1/Btrc/Trem2/Wnt5a/Cav1/Brd4/Ikbkg/Cd74/Flot2/Ilk/Trim32/Trim39/Relb/Traf6/Sirt1",15
