"comparison","region_pair","stage","replicate","pearson_log1p"
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E10.5","1 versus 2",0.976162818526973
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E10.5","2 versus 1",0.983529973764341
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E10.5","2 versus 2",0.979745105550877
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E11.5","1 versus 1",0.977696794605338
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E11.5","1 versus 2",0.976187070376649
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E11.5","2 versus 1",0.973862354990075
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E11.5","2 versus 2",0.972794115766714
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E12.5","1 versus 1",0.971112077812342
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E12.5","1 versus 2",0.969616268374967
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E12.5","2 versus 1",0.969254019987965
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E12.5","2 versus 2",0.966362849436123
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E13.5","1 versus 1",0.967761689704283
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E13.5","1 versus 2",0.966727433367998
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E13.5","2 versus 1",0.967577209421848
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E13.5","2 versus 2",0.96541334693912
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E14.5","1 versus 1",0.960952643665308
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E14.5","1 versus 2",0.967331271142014
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E14.5","2 versus 1",0.961134569704855
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E14.5","2 versus 2",0.96916388094194
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E15.5","1 versus 1",0.831012996820243
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E15.5","1 versus 2",0.838661049535023
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E15.5","2 versus 1",0.823144430942521
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E15.5","2 versus 2",0.830226555105409
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E16.5","1 versus 1",0.972754928960026
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E16.5","1 versus 2",0.969784578768632
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E16.5","2 versus 1",0.973625161857876
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E16.5","2 versus 2",0.969406487528159
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","P0","1 versus 1",0.97231081951659
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","P0","1 versus 2",0.968695970385454
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","P0","2 versus 1",0.973228949710357
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","P0","2 versus 2",0.970940966592134
