"gene_name","isoform_id","direction","region_group","stage","isoform_fraction"
"Ntrk2","NM_001025074","lower","Midbrain","13.5",0.48755
"Ntrk2","NM_001025074","lower","Midbrain","14.5",0.56685
"Ntrk2","NM_001025074","lower","Midbrain","15.5",0.0563
"Ntrk2","NM_001025074","lower","Midbrain","16.5",0.6202
"Ntrk2","NM_001025074","lower","Midbrain","0",0.51815
"Ntrk2","NM_008745","higher","Forebrain/hindbrain mean","10.5",0.7979
"Ntrk2","NM_008745","higher","Forebrain/hindbrain mean","11.5",0.84215
"Ntrk2","NM_008745","higher","Forebrain/hindbrain mean","12.5",0.71
"Ntrk2","NM_008745","higher","Forebrain/hindbrain mean","13.5",0.4662
"Ntrk2","NM_008745","higher","Forebrain/hindbrain mean","14.5",0.42015
"Ntrk2","NM_008745","higher","Forebrain/hindbrain mean","15.5",0.45095
"Ntrk2","NM_008745","higher","Forebrain/hindbrain mean","16.5",0.47415
"Ntrk2","NM_008745","higher","Forebrain/hindbrain mean","0",0.5707
"Ntrk2","NM_008745","higher","Midbrain","10.5",0.8883
"Ntrk2","NM_008745","higher","Midbrain","11.5",0.89355
"Ntrk2","NM_008745","higher","Midbrain","12.5",0.79465
"Ntrk2","NM_008745","higher","Midbrain","13.5",0.51245
"Ntrk2","NM_008745","higher","Midbrain","14.5",0.43315
"Ntrk2","NM_008745","higher","Midbrain","15.5",0.9437
"Ntrk2","NM_008745","higher","Midbrain","16.5",0.3798
"Ntrk2","NM_008745","higher","Midbrain","0",0.48185
"Scg3","NM_001164790","lower","Forebrain/hindbrain mean","10.5",0.7032
"Scg3","NM_001164790","lower","Forebrain/hindbrain mean","11.5",0.73245
"Scg3","NM_001164790","lower","Forebrain/hindbrain mean","12.5",0.66065
"Scg3","NM_001164790","lower","Forebrain/hindbrain mean","13.5",0.66345
"Scg3","NM_001164790","lower","Forebrain/hindbrain mean","14.5",0.58975
"Scg3","NM_001164790","lower","Forebrain/hindbrain mean","15.5",0.605825
"Scg3","NM_001164790","lower","Forebrain/hindbrain mean","16.5",0.56955
"Scg3","NM_001164790","lower","Forebrain/hindbrain mean","0",0.648475
"Scg3","NM_001164790","lower","Midbrain","10.5",0.6746
"Scg3","NM_001164790","lower","Midbrain","11.5",0.685
"Scg3","NM_001164790","lower","Midbrain","12.5",0.67875
"Scg3","NM_001164790","lower","Midbrain","13.5",0.6967
"Scg3","NM_001164790","lower","Midbrain","14.5",0.6053
"Scg3","NM_001164790","lower","Midbrain","15.5",0
"Scg3","NM_001164790","lower","Midbrain","16.5",0.63045
"Scg3","NM_001164790","lower","Midbrain","0",0.6444
"Scg3","NM_009130","higher","Forebrain/hindbrain mean","10.5",0.2968
"Scg3","NM_009130","higher","Forebrain/hindbrain mean","11.5",0.26755
"Scg3","NM_009130","higher","Forebrain/hindbrain mean","12.5",0.33935
"Scg3","NM_009130","higher","Forebrain/hindbrain mean","13.5",0.33655
"Scg3","NM_009130","higher","Forebrain/hindbrain mean","14.5",0.41025
"Scg3","NM_009130","higher","Forebrain/hindbrain mean","15.5",0.394175
"Scg3","NM_009130","higher","Forebrain/hindbrain mean","16.5",0.43045
"Scg3","NM_009130","higher","Forebrain/hindbrain mean","0",0.351525
"Scg3","NM_009130","higher","Midbrain","10.5",0.3254
"Scg3","NM_009130","higher","Midbrain","11.5",0.315
"Scg3","NM_009130","higher","Midbrain","12.5",0.32125
"Scg3","NM_009130","higher","Midbrain","13.5",0.3033
"Scg3","NM_009130","higher","Midbrain","14.5",0.3947
"Scg3","NM_009130","higher","Midbrain","15.5",1
"Scg3","NM_009130","higher","Midbrain","16.5",0.36955
"Scg3","NM_009130","higher","Midbrain","0",0.3556
"Tecr","NM_027179","lower","Forebrain/hindbrain mean","10.5",0.3264
"Tecr","NM_027179","lower","Forebrain/hindbrain mean","11.5",0.4067
"Tecr","NM_027179","lower","Forebrain/hindbrain mean","12.5",0.5272
"Tecr","NM_027179","lower","Forebrain/hindbrain mean","13.5",0.724
"Tecr","NM_027179","lower","Forebrain/hindbrain mean","14.5",0.8217
"Tecr","NM_027179","lower","Forebrain/hindbrain mean","15.5",0.7989
"Tecr","NM_027179","lower","Forebrain/hindbrain mean","16.5",0.8222
"Tecr","NM_027179","lower","Forebrain/hindbrain mean","0",0.77745
"Tecr","NM_027179","lower","Midbrain","10.5",0.26465
"Tecr","NM_027179","lower","Midbrain","11.5",0.3537
"Tecr","NM_027179","lower","Midbrain","12.5",0.4356
"Tecr","NM_027179","lower","Midbrain","13.5",0.62475
"Tecr","NM_027179","lower","Midbrain","14.5",0.78335
"Tecr","NM_027179","lower","Midbrain","15.5",0.28715
"Tecr","NM_027179","lower","Midbrain","16.5",0.8304
"Tecr","NM_027179","lower","Midbrain","0",0.8356
"Tecr","NM_134118","higher","Forebrain/hindbrain mean","10.5",0.6736
"Tecr","NM_134118","higher","Forebrain/hindbrain mean","11.5",0.5933
"Tecr","NM_134118","higher","Forebrain/hindbrain mean","12.5",0.4728
"Tecr","NM_134118","higher","Forebrain/hindbrain mean","13.5",0.276
"Tecr","NM_134118","higher","Forebrain/hindbrain mean","14.5",0.1783
"Tecr","NM_134118","higher","Forebrain/hindbrain mean","15.5",0.2011
"Tecr","NM_134118","higher","Forebrain/hindbrain mean","16.5",0.1778
"Tecr","NM_134118","higher","Forebrain/hindbrain mean","0",0.22255
"Tecr","NM_134118","higher","Midbrain","10.5",0.73535
"Tecr","NM_134118","higher","Midbrain","11.5",0.6463
"Tecr","NM_134118","higher","Midbrain","12.5",0.5644
"Tecr","NM_134118","higher","Midbrain","13.5",0.37525
"Tecr","NM_134118","higher","Midbrain","14.5",0.21665
"Tecr","NM_134118","higher","Midbrain","15.5",0.71285
"Tecr","NM_134118","higher","Midbrain","16.5",0.1696
"Tecr","NM_134118","higher","Midbrain","0",0.1644
