"gene_id","gene_name","isoform_id","region","stage","stage_index","target_mean_if","other_mean_if","target_difference","target_vs_other_1","target_vs_other_2","other_region_difference","max_pair_q","max_pair_q_by","state","gene_simes_p","gene_q","gene_bonferroni_p","gene_q_by"
"Arhgap21","Arhgap21","NM_001081364","Midbrain","0",8,0.09665,0.41305,-0.3164,-0.3164,-0.3164,-3.33066907387547e-16,0.00274814228873345,0.0362483105135138,-1,0.000333061584405899,0.00215820545244278,0.00132285290590331,0.0732921483594581
"Tns1","Tns1","NM_001289895","Midbrain","15.5",6,0.8802,1,-0.1198,-0.1198,-0.1198,0,0.00275324707464556,0.0363156432224517,-1,0.000333900220445152,0.00215856117087212,0.00118633465238886,0.066714782336723
"Kcnh2","Kcnh2","NM_001294162","Midbrain","14.5",5,0.0499,0.2944,-0.2445,-0.2445,-0.2445,0,0.00277226840981276,0.0365665368047632,-1,0.000338089006570341,0.00217948363813021,0.00134571405752355,0.074358872091096
"Kcnh2","Kcnh2","NM_013569","Midbrain","14.5",5,0.9501,0.7056,0.2445,0.2445,0.2445,0,0.00278228803105915,0.0366986967528329,1,0.000338089006570341,0.00217948363813021,0.00134571405752355,0.074358872091096
"Ralyl","Ralyl","NM_001163330","Midbrain","10.5",1,0.35195,0.58615,-0.2342,-0.2342,-0.2342,-1.11022302462516e-16,0.0027863447743959,0.0367522056605584,-1,1.39173141091638e-15,1.32707388911756e-13,2.78346282183276e-15,2.3903583854988e-12
"Fbxo44","Fbxo44","NM_001161852","Midbrain","15.5",6,0.3922,0.5846,-0.1924,-0.1924,-0.1924,0,0.00279917851484962,0.0369214841622297,-1,0.00136235483841687,0.00739679489375326,0.00272470967683373,0.140394171741387
"Dus2","Dus2","NM_025518","Midbrain","12.5",3,0.84225,1,-0.15775,-0.15775,-0.15775,0,0.00285395387110324,0.0376439773643137,-1,0.000359602211405284,0.00230841419579521,0.00139083794948708,0.0765444216985651
"Mlf1","Mlf1","NM_010801","Midbrain","15.5",6,0.5525,0.9632,-0.4107,-0.4107,-0.4107,2.22044604925031e-16,0.00288825586697661,0.0380964246057642,-1,0.000369749930002257,0.00236361093522393,0.00140940056207503,0.0774625891325275
"Dctd","Dctd","NM_001161516","Midbrain","12.5",3,0,0.494775,-0.494775,-0.4948,-0.49475,4.99999999999945e-05,0.00289272016614432,0.0381553092214262,-1,5.90364965588141e-08,8.77305340096403e-07,1.18072993117628e-07,1.60630043153653e-05
"Skor1","Skor1","NM_001163758","Midbrain","12.5",3,1,0.4483,0.5517,0.5517,0.5517,0,0.00290606704717055,0.0383313561058285,1,0.000710439016085475,0.00422845172512772,0.00249607109234951,0.129585163231061
"Cdc42se1","Cdc42se1","NM_001038708","Midbrain","0",8,0.262,0.474775,-0.212775,-0.21245,-0.2131,-0.000649999999999873,0.00291381476767342,0.0384335494237332,-1,0.000358415489351281,0.00230402766118092,0.00137505619591232,0.0758784895928868
"Cep55","Cep55","NM_001164362","Midbrain","0",8,0.2216,0.94405,-0.72245,-0.72245,-0.72245,0,0.00291595476034724,0.0384617761714003,-1,5.8259911829507e-09,1.08396592050266e-07,1.16519823659014e-08,1.98473845612033e-06
"Rhobtb1","Rhobtb1","NM_001252637","Midbrain","15.5",6,0.88855,0.580475,0.308075,0.3081,0.30805,-5.00000000001055e-05,0.00292164633308054,0.0385368486654966,1,0.00107312207528463,0.00602061499713986,0.00214310639436781,0.112679912566242
"Cdc42se1","Cdc42se1","NM_172395","Midbrain","0",8,0.738,0.525225,0.212775,0.21245,0.2131,0.000649999999999928,0.00292647532955642,0.0386005436802867,1,0.000358415489351281,0.00230402766118092,0.00137505619591232,0.0758784895928868
"Dus2","Dus2","NM_001301176","Midbrain","12.5",3,0.15775,0,0.15775,0.15775,0.15775,0,0.00293425089971313,0.0387031043383049,1,0.000359602211405284,0.00230841419579521,0.00139083794948708,0.0765444216985651
"Nnat","Nnat","NM_180960","Midbrain","0",8,0.7491,0.64475,0.10435,0.10435,0.10435,0,0.00297597273217611,0.0392534200714135,1,1.03909223533746e-13,5.6618156680233e-12,2.28630368857148e-13,1.14931452817592e-10
"Atp2c1","Atp2c1","NM_175025","Midbrain","15.5",6,0.55745,0.8749,-0.31745,-0.31745,-0.31745,0,0.00298675704181866,0.0393956663467246,-1,0.000152740870716783,0.0010755307158011,0.000305481741433566,0.0199560567526531
"Inadl","Inadl","NM_007704","Midbrain","15.5",6,0,0.44105,-0.44105,-0.44105,-0.44105,-1.11022302462516e-16,0.00300920667999887,0.0396917796371492,-1,0.00147897017837322,0.00792651815739372,0.00295792830184463,0.149973984213348
"Mlf1","Mlf1","NM_001039543","Midbrain","15.5",6,0.4475,0.0368,0.4107,0.4107,0.4107,-6.93889390390723e-18,0.00300920667999887,0.0396917796371492,1,0.000369749930002257,0.00236361093522393,0.00140940056207503,0.0774625891325275
"Ablim1","Ablim1","NM_001290816","Midbrain","15.5",6,0.6512,0.2911,0.3601,0.3601,0.3601,0,0.00301231785153492,0.0397328163448779,1,0.000544523580843686,0.00331862107792483,0.00108904716168737,0.0620907952270361
"Picalm","Picalm","NM_001252520","Midbrain","15.5",6,0,0.148,-0.148,-0.148,-0.148,0,0.00301861500704762,0.0398158765449673,-1,0.000998584654847828,0.00565658659064172,0.00222832968483822,0.116714159090889
"Lims1","Lims1","NM_001193303","Midbrain","15.5",6,0.33085,0.17195,0.1589,0.1589,0.1589,0,0.00301861900295742,0.0398159292514738,1,2.66128061520491e-06,2.90708386057109e-05,5.32256123040982e-06,0.000537748657774149
"Stox2","Stox2","NM_001114311","Midbrain","15.5",6,0.6657,0.97125,-0.30555,-0.30555,-0.30555,0,0.00304504616330926,0.0401645065134121,-1,0.000562809053763347,0.00342095224312728,0.00137900480012974,0.075994648737946
"Sema4a","Sema4a","NM_001163490","Midbrain","15.5",6,0,0.569375,-0.569375,-0.56935,-0.5694,-5.00000000001055e-05,0.00304551218541393,0.0401706533981734,-1,0.000750854885690452,0.00442298946178275,0.00169518552319013,0.0915822963327797
"Slc16a10","Slc16a10","NM_028247","Midbrain","14.5",5,0.364,0.04735,0.31665,0.31665,0.31665,0,0.0031112792588439,0.0410381286046166,1,0.000387048199053174,0.00245703135515448,0.00153761871815997,0.0835075444226215
"Tbc1d24","Tbc1d24","NM_001163848","Midbrain","15.5",6,0,0.276375,-0.276375,-0.2769,-0.27585,0.00105000000000005,0.00311995149107339,0.0411525163377369,-1,0.0026992054563261,0.0132414398430917,0.00529335576023222,0.245298710589788
"Ccdc30","Ccdc30","NM_001270446","Midbrain","15.5",6,0.47915,0.157,0.32215,0.32215,0.32215,-2.77555756156289e-17,0.00312080253069895,0.0411637416475518,1,0.00192977643106254,0.00990200305490276,0.00385955286212509,0.186512006532898
"Slc16a10","Slc16a10","NM_001114332","Midbrain","14.5",5,0.636,0.95265,-0.31665,-0.31665,-0.31665,-1.11022302462516e-16,0.00312761930764918,0.0412536557137216,-1,0.000387048199053174,0.00245703135515448,0.00153761871815997,0.0835075444226215
"Arhgap24","Arhgap24","NM_001286468","Midbrain","11.5",2,0.36925,0.0156,0.35365,0.35365,0.35365,0,0.00314639964266291,0.0415013704764966,1,0.000362768390977493,0.00232547748670026,0.00155849467000958,0.0845299400518433
"Arhgap24","Arhgap24","NM_029270","Midbrain","11.5",2,0.63075,0.9844,-0.35365,-0.35365,-0.35365,0,0.00315377141555118,0.0415986050024469,-1,0.000362768390977493,0.00232547748670026,0.00155849467000958,0.0845299400518433
"Il1rap","Il1rap","NM_001159318","Midbrain","15.5",6,0,0.1468,-0.1468,-0.1468,-0.1468,0,0.00316270298278328,0.0417164133938569,-1,0.00156859152489563,0.00832882066061171,0.00313718304979125,0.15674898712821
"Slc8a1","Slc8a1","NM_001112798","Midbrain","15.5",6,0,0.437025,-0.437025,-0.4369,-0.43715,-0.000249999999999917,0.00318436428805984,0.0420021284832873,-1,0.00158035239733385,0.00838154452212863,0.00315327985191789,0.157172238370854
"Rufy3","Rufy3","NM_001289775","Midbrain","15.5",6,0.03985,0.16595,-0.1261,-0.1261,-0.1261,0,0.00318561608404373,0.0420186398152186,-1,6.18935447390281e-14,3.88064046945934e-12,1.23787089478056e-13,7.08698783470799e-11
"Tcf3","Tcf3","NM_001164150","Midbrain","15.5",6,0.19815,0,0.19815,0.19815,0.19815,0,0.0031973408496345,0.0421732908118481,1,6.39247598784028e-05,0.000497591200618112,0.00010545518576151,0.00794693108037425
"Slc38a10","Slc38a10","NM_001164798","Midbrain","15.5",6,0.0434,0.256275,-0.212875,-0.2181,-0.20765,0.01045,0.00323785172663421,0.0427076339041546,-1,0.000829921958854568,0.00480221593638098,0.000829921958854568,0.0492233631275212
