"isoform_id","gene_id","gene_name","region","start_stage","end_stage","n_stages","direction","max_abs_usage_difference","mean_abs_usage_difference","worst_pair_q","flanking_max_abs_difference","gene_q","replicate_separation","replicate_consistent","reciprocal_exchange"
"NM_001252520","Picalm","Picalm","Midbrain","15.5","15.5",1,"lower",0.148,0.148,0.00301861500704762,0.07455,0.00565658659064172,0.1276,TRUE,FALSE
"NM_001193303","Lims1","Lims1","Midbrain","15.5","15.5",1,"higher",0.1589,0.1589,0.00301861900295742,0.0549,2.90708386057109e-05,0.1178,TRUE,TRUE
"NM_001114311","Stox2","Stox2","Midbrain","15.5","15.5",1,"lower",0.30555,0.30555,0.00304504616330926,0.0168,0.00342095224312728,0.2395,TRUE,TRUE
"NM_001163490","Sema4a","Sema4a","Midbrain","15.5","15.5",1,"lower",0.569375,0.569375,0.00304551218541393,0.0592,0.00442298946178275,0.5615,TRUE,TRUE
"NM_001270446","Ccdc30","Ccdc30","Midbrain","15.5","15.5",1,"higher",0.32215,0.32215,0.00312080253069895,0.0602,0.00990200305490276,0.2873,TRUE,TRUE
"NM_001289775","Rufy3","Rufy3","Midbrain","15.5","15.5",1,"lower",0.1261,0.1261,0.00318561608404373,0.05295,3.88064046945934e-12,0.0736,TRUE,TRUE
"NM_001164150","Tcf3","Tcf3","Midbrain","15.5","15.5",1,"higher",0.19815,0.19815,0.0031973408496345,0.07815,0.000497591200618112,0.1624,TRUE,FALSE
"NM_001164798","Slc38a10","Slc38a10","Midbrain","15.5","15.5",1,"lower",0.212875,0.212875,0.00323785172663421,0.0693999999999999,0.00480221593638098,0.1663,TRUE,TRUE
"NM_001081458","Ppp2r5c","Ppp2r5c","Midbrain","15.5","15.5",1,"lower",0.16315,0.16315,0.00324268317326463,0.0354,9.50271861307972e-05,0.1491,TRUE,TRUE
"NM_133752","Opa1","Opa1","Midbrain","15.5","15.5",1,"lower",0.15985,0.15985,0.00324582042733479,0.0204000000000001,0.00263616069733942,0.1439,TRUE,TRUE
"NM_001039076","Ldb3","Ldb3","Midbrain","15.5","15.5",1,"higher",0.82305,0.82305,0.00326195464286445,0,0.0138506417972572,0.8138,TRUE,FALSE
"NM_010693","Lck","Lck","Midbrain","15.5","15.5",1,"higher",0.68355,0.68355,0.00329752811898307,0,0.00129175156076692,0.6494,TRUE,TRUE
"NM_007540","Bdnf","Bdnf","Midbrain","15.5","15.5",1,"lower",0.1403,0.1403,0.00333956415663696,0.0314,6.96304051361776e-07,0.1247,TRUE,FALSE
"NM_001199177","Opa1","Opa1","Midbrain","15.5","15.5",1,"higher",0.15985,0.15985,0.00333972407859509,0.0204,0.00263616069733942,0.1439,TRUE,TRUE
"NM_001308095","Nadsyn1","Nadsyn1","Midbrain","15.5","15.5",1,"lower",0.4149,0.4149,0.00343341239134223,0.09005,0.00272292762254118,0.3583,TRUE,TRUE
"NM_001164051","Pik3cd","Pik3cd","Midbrain","15.5","15.5",1,"lower",0.32165,0.32165,0.00343341239134223,0.0952499999999999,0.00900614014158549,0.19,TRUE,FALSE
