"gene_id","Forebrain","Hindbrain","Midbrain","membership"
"Scg3",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Sec23b",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Slc38a1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Sptan1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"St6gal1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Szrd1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tarbp2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tbc1d5",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tnni1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Trub2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tti2",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Uhrf1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Usp33",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Vwa8",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Xpo1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Yeats2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"AB124611",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Alg12",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Apaf1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Arfrp1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"C030006K11Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Col2a1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Dcun1d3",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"E2f1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Galnt1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Gp1bb",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Icmt",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Lpar1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Mdfi",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Nip7",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Nipbl",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Per1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Pgf",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Pigv",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Polr3d",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Prrc2a",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Radil",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rnf20",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Sirpa",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Sox17",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Sphk2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tgif1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tmem216",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tspan33",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Tyk2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zc3h18",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zfp239",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zscan22",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"1700019G17Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"4930451G09Rik",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"A930004D18Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"AI846148",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Caprin2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Carm1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Cd99l2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Creb3l4",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Dhrs7b",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Disp1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
