"isoform_id","gene_id","gene_name","region","start_stage","end_stage","n_stages","direction","max_abs_usage_difference","mean_abs_usage_difference","worst_pair_q","flanking_max_abs_difference","gene_q","replicate_separation","replicate_consistent","reciprocal_exchange"
"NM_001305046","Uap1","Uap1","Midbrain","15.5","15.5",1,"lower",0.590625,0.590625,0.000148430451282803,0.0850500000000001,0.000398016456131409,0.558,TRUE,TRUE
"NM_001122736","Igf2","Igf2","Midbrain","15.5","15.5",1,"higher",0.27695,0.27695,0.000148430451282803,0.0372,2.04548841868449e-05,0.2753,TRUE,TRUE
"NM_207634","Rps24","Rps24","Midbrain","15.5","15.5",1,"higher",0.18695,0.18695,0.000151713368070961,0.0039,1.20857351104802e-07,0.1119,TRUE,TRUE
"NM_001164594","Pdzrn4","Pdzrn4","Midbrain","15.5","15.5",1,"lower",0.6146,0.6146,0.000165307659950152,0.0678500000000002,0.000303724826907579,0.5912,TRUE,TRUE
"NM_001144993","2810459M11Rik","2810459M11Rik","Midbrain","13.5","13.5",1,"higher",0.56925,0.56925,0.00016707507678806,0.02315,8.55947919295039e-05,0.3985,TRUE,TRUE
"NM_001144992","2810459M11Rik","2810459M11Rik","Midbrain","13.5","13.5",1,"lower",0.56925,0.56925,0.000171475638969541,0.0231500000000001,8.55947919295039e-05,0.3985,TRUE,TRUE
"NM_011319","Sars","Sars","Midbrain","15.5","15.5",1,"lower",0.16575,0.16575,0.000177211882326446,0.0376,0.000327027255257356,0.1072,TRUE,TRUE
"NM_001198587","Nrxn3","Nrxn3","Midbrain","15.5","15.5",1,"higher",0.37835,0.37835,0.000181225678083729,0.0792,3.19174240387055e-06,0.2763,TRUE,TRUE
"NM_001164593","Pdzrn4","Pdzrn4","Midbrain","15.5","15.5",1,"higher",0.6146,0.6146,0.000187010459679944,0.06785,0.000303724826907579,0.5912,TRUE,TRUE
"NM_001204979","Sars","Sars","Midbrain","15.5","15.5",1,"higher",0.16575,0.16575,0.000188600041951457,0.0376,0.000327027255257356,0.1072,TRUE,TRUE
"NM_025459","Fam134b","Fam134b","Midbrain","15.5","15.5",1,"higher",0.3859,0.3859,0.000193100188325091,0.0337,0.000671273380619607,0.3775,TRUE,FALSE
"NM_008487","Arhgef2","Arhgef2","Midbrain","15.5","15.5",1,"higher",0.20665,0.20665,0.00019692225869241,0.0289,0.000680616198652611,0.1867,TRUE,FALSE
"NM_001198839","Bcar1","Bcar1","Midbrain","15.5","15.5",1,"higher",0.24185,0.24185,0.000211204884039981,0.0314,0.000391952047836347,0.1887,TRUE,TRUE
"NM_009954","Bcar1","Bcar1","Midbrain","15.5","15.5",1,"lower",0.24185,0.24185,0.000215789073117112,0.0314,0.000391952047836347,0.1887,TRUE,TRUE
"NM_027590","Ints10","Ints10","Midbrain","15.5","15.5",1,"higher",0.505075,0.505075,0.000220983005633449,0.0436,0.000588627699279526,0.3911,TRUE,TRUE
"NM_001177696","Ablim2","Ablim2","Midbrain","15.5","15.5",1,"higher",0.34455,0.34455,0.000226346133991876,0.0206,0.00114835095331137,0.2261,TRUE,FALSE
"NM_001159646","Dut","Dut","Midbrain","15.5","15.5",1,"higher",0.2911,0.2911,0.000226346133991876,0.08555,0.000420073099176811,0.2688,TRUE,TRUE
"NM_029862","Cacfd1","Cacfd1","Midbrain","15.5","15.5",1,"higher",0.1894,0.1894,0.000228083038539692,0.0690500000000001,3.19174240387055e-06,0.1769,TRUE,TRUE
"NM_026332","Dnajc19","Dnajc19","Midbrain","15.5","15.5",1,"higher",0.10485,0.10485,0.000228509934084651,0.0113999999999999,0.000135997264087263,0.0790000000000001,TRUE,FALSE
"NM_011777","Zyx","Zyx","Midbrain","15.5","15.5",1,"higher",0.274375,0.274375,0.00023912145191581,0.0198,0.000106702523676306,0.2379,TRUE,TRUE
"NM_023595","Dut","Dut","Midbrain","15.5","15.5",1,"lower",0.2911,0.2911,0.000241427158949422,0.08555,0.000420073099176811,0.2688,TRUE,TRUE
"NM_007522","Bad","Bad","Midbrain","15.5","15.5",1,"lower",0.129125,0.129125,0.000245626991882353,0.03705,0.000437007574345984,0.1051,TRUE,TRUE
"NM_001293685","Vti1a","Vti1a","Midbrain","15.5","15.5",1,"lower",0.6674,0.6674,0.000246858885000479,0.0815000000000001,0.000666267064466227,0.6181,TRUE,FALSE
"NM_172475","Frmd4a","Frmd4a","Midbrain","15.5","15.5",1,"lower",0.3023,0.3023,0.000255236356565815,0.0302500000000001,2.42027411438007e-06,0.2766,TRUE,TRUE
"NM_009990","Clip2","Clip2","Midbrain","15.5","15.5",1,"lower",0.505075,0.505075,0.000256090212921686,0.0470500000000001,0.000476287396323129,0.4601,TRUE,TRUE
"NM_001039162","Clip2","Clip2","Midbrain","15.5","15.5",1,"higher",0.505075,0.505075,0.000257220260466577,0.04705,0.000476287396323129,0.4601,TRUE,TRUE
"NM_001285453","Bad","Bad","Midbrain","15.5","15.5",1,"higher",0.129125,0.129125,0.000262179069050843,0.03705,0.000437007574345984,0.1051,TRUE,TRUE
"NM_053204","Erc1","Erc1","Midbrain","15.5","15.5",1,"higher",0.2899,0.2899,0.000269900636489549,0.0214,0.000720910122084431,0.2259,TRUE,FALSE
"NM_016961","Mapk9","Mapk9","Midbrain","15.5","15.5",1,"lower",0.229075,0.229075,0.000288882825434013,0.0514,1.21591199402721e-07,0.2164,TRUE,TRUE
"NM_001025568","Pde1c","Pde1c","Midbrain","14.5","14.5",1,"lower",0.26655,0.26655,0.00029075377891064,0.06,0.00148481454603078,0.2345,TRUE,FALSE
"NM_024191","Arl2bp","Arl2bp","Midbrain","15.5","15.5",1,"lower",0.3136,0.3136,0.000297546991474188,0.0383499999999998,0.000550464735061558,0.2762,TRUE,TRUE
"NM_001037493","Slc41a3","Slc41a3","Midbrain","15.5","15.5",1,"higher",0.19465,0.19465,0.000313619548786493,0.00575,0.000581073632036157,0.1637,TRUE,TRUE
"NM_001289709","Sh3glb2","Sh3glb2","Midbrain","15.5","15.5",1,"lower",0.5071,0.5071,0.00032468462376973,0.0575999999999999,2.2596659451697e-15,0.4797,TRUE,TRUE
"NR_037906","Luc7l","Luc7l","Midbrain","15.5","15.5",1,"higher",0.3168,0.3168,0.000327075940482925,0.00880000000000003,3.60470259077971e-07,0.2868,TRUE,TRUE
"NM_001190376","Camta2","Camta2","Midbrain","15.5","15.5",1,"lower",0.7897,0.7897,0.000334187350328265,0.05485,0.00117109464719655,0.778,TRUE,FALSE
"NM_024269","Arl2bp","Arl2bp","Midbrain","15.5","15.5",1,"higher",0.3136,0.3136,0.000345120279109678,0.03835,0.000550464735061558,0.2762,TRUE,TRUE
"NM_027868","Slc41a3","Slc41a3","Midbrain","15.5","15.5",1,"lower",0.19465,0.19465,0.000347539190252897,0.00575000000000003,0.000581073632036157,0.1637,TRUE,TRUE
"NM_145457","Paip1","Paip1","Midbrain","15.5","15.5",1,"higher",0.4191,0.4191,0.00034966588911279,0.0584,0.000653287525422693,0.2848,TRUE,TRUE
"NM_001177883","Elavl2","Elavl2","Midbrain","15.5","15.5",1,"lower",0.24215,0.24215,0.000351837492257385,0.0433,0.00124337622001463,0.177,TRUE,FALSE
"NM_177698","Psd3","Psd3","Midbrain","15.5","15.5",1,"higher",0.4233,0.4233,0.000358219305120183,0.09345,1.39257959571715e-07,0.4141,TRUE,FALSE
"NM_001079849","Paip1","Paip1","Midbrain","15.5","15.5",1,"lower",0.4191,0.4191,0.000358219305120183,0.0584,0.000653287525422693,0.2848,TRUE,TRUE
"NM_011216","Ptpro","Ptpro","Midbrain","15.5","15.5",1,"lower",0.9329,0.9329,0.000361829747402121,0.0532499999999999,0.000674935764075591,0.9248,TRUE,FALSE
"NM_026131","Pdlim7","Pdlim7","Midbrain","15.5","15.5",1,"higher",0.51515,0.51515,0.000361829747402121,0.02445,0.00128402346280809,0.4888,TRUE,FALSE
"NM_133910","Tbc1d14","Tbc1d14","Midbrain","15.5","15.5",1,"higher",0.18375,0.18375,0.000361829747402121,0.01445,3.38852243380577e-05,0.1427,TRUE,TRUE
"NM_001081414","Grm5","Grm5","Midbrain","15.5","15.5",1,"higher",0.10155,0.10155,0.000373268182903277,0.00855000000000006,0.000694763933381512,0.0504,TRUE,TRUE
"NM_030706","Trim2","Trim2","Midbrain","15.5","15.5",1,"lower",0.2664,0.2664,0.000374523382990209,0.0425000000000001,0.000291989274758298,0.2052,TRUE,TRUE
"NM_001284505","Cask","Cask","Midbrain","15.5","15.5",1,"higher",0.144,0.144,0.000377940414535016,0,3.31739825385967e-07,0.0971,TRUE,TRUE
"NM_027413","Lrrc28","Lrrc28","Midbrain","15.5","15.5",1,"higher",0.1122,0.1122,0.000378763235242172,0.0088,0.00135131841398396,0.1091,TRUE,FALSE
"NM_001143834","Grm5","Grm5","Midbrain","15.5","15.5",1,"lower",0.10155,0.10155,0.000402143868213365,0.00855,0.000694763933381512,0.0504,TRUE,TRUE
"NM_001164531","Zfyve27","Zfyve27","Midbrain","15.5","15.5",1,"higher",0.43865,0.43865,0.000406325056100314,0.0997,0.000758592583011959,0.3897,TRUE,TRUE
"NM_203280","Sphk2","Sphk2","Midbrain","15.5","15.5",1,"higher",0.21815,0.21815,0.000406609641477633,0.0643500000000001,8.41167202760575e-05,0.1603,TRUE,TRUE
"NM_001163449","Mapk8ip3","Mapk8ip3","Midbrain","15.5","15.5",1,"lower",0.396175,0.396175,0.000411230216313714,0.05945,0.000667444929348156,0.3099,TRUE,FALSE
"NM_177319","Zfyve27","Zfyve27","Midbrain","15.5","15.5",1,"lower",0.43865,0.43865,0.000415220665656756,0.0997000000000001,0.000758592583011959,0.3897,TRUE,TRUE
"NM_013935","Hacd1","Hacd1","Midbrain","15.5","15.5",1,"higher",0.3632,0.3632,0.000420385189093721,0.00975,0.000786573906713405,0.3458,TRUE,TRUE
"NR_045779","Ubl4a","Ubl4a","Midbrain","15.5","15.5",1,"lower",0.1923,0.1923,0.000425712702914617,0.0166,0.000786504408027341,0.1807,TRUE,TRUE
"NM_145405","Ubl4a","Ubl4a","Midbrain","15.5","15.5",1,"higher",0.1923,0.1923,0.000426854301235336,0.0166000000000002,0.000786504408027341,0.1807,TRUE,TRUE
"NM_007871","Dnm2","Dnm2","Midbrain","15.5","15.5",1,"higher",0.230275,0.230275,0.000457447226595313,0.0593,0.00124337622001463,0.1959,TRUE,TRUE
"NM_177137","Gnal","Gnal","Midbrain","15.5","15.5",1,"lower",0.81775,0.81775,0.000462292906971566,0.0431999999999999,0.000864720660644606,0.7506,TRUE,TRUE
"NM_001012396","Hacd1","Hacd1","Midbrain","15.5","15.5",1,"lower",0.3632,0.3632,0.000469541600241586,0.00974999999999981,0.000786573906713405,0.3458,TRUE,TRUE
"NM_011247","Rbbp6","Rbbp6","Midbrain","15.5","15.5",1,"higher",0.1912,0.1912,0.000470092093056831,0.0318,0.000877407288467053,0.18,TRUE,TRUE
"NM_010307","Gnal","Gnal","Midbrain","15.5","15.5",1,"higher",0.81775,0.81775,0.000484957490126876,0.0432,0.000864720660644606,0.7506,TRUE,TRUE
"NM_001114125","Dab2ip","Dab2ip","Midbrain","15.5","15.5",1,"lower",0.39885,0.39885,0.000488932743453063,0.0125000000000002,0.00293772548944848,0.348,TRUE,TRUE
"NM_001136060","Dpp6","Dpp6","Midbrain","15.5","15.5",1,"lower",0.43235,0.43235,0.000527232184465937,0.0926,3.33462584638863e-06,0.3424,TRUE,TRUE
"NM_175023","Rbbp6","Rbbp6","Midbrain","15.5","15.5",1,"lower",0.1912,0.1912,0.000533002620029764,0.0318000000000002,0.000877407288467053,0.18,TRUE,TRUE
"NM_001205332","Map4","Map4","Midbrain","15.5","15.5",1,"higher",0.21405,0.21405,0.000565320580051337,0.0676,2.30003385083338e-13,0.1759,TRUE,TRUE
"NM_001039391","Pkig","Pkig","Midbrain","15.5","15.5",1,"lower",0.20195,0.20195,0.000614933899997701,0.0589000000000002,0.00316695787205245,0.1816,TRUE,TRUE
"NM_001177324","Sept6","Sept6","Midbrain","15.5","15.5",1,"higher",0.1103,0.1103,0.000619443674380577,0.01715,0.00220405795772882,0.1004,TRUE,TRUE
"NM_001252655","Kcnab2","Kcnab2","Midbrain","15.5","15.5",1,"higher",0.42965,0.42965,0.000644553856530352,0,0.00228858610118763,0.351,TRUE,TRUE
"NM_001004359","Gprasp1","Gprasp1","Midbrain","15.5","15.5",1,"lower",0.255475,0.255475,0.000683336935967078,0.0117500000000001,0.00184517011169477,0.1824,TRUE,FALSE
"NM_001293630","Slc37a4","Slc37a4","Midbrain","15.5","15.5",1,"higher",0.2333,0.2333,0.00072718573636614,0.0542500000000001,0.00196249858605817,0.1549,TRUE,TRUE
"NM_001111027","Runx1t1","Runx1t1","Midbrain","15.5","15.5",1,"lower",0.11825,0.11825,0.000767103029515718,0.03945,4.01716036415426e-05,0.0821,TRUE,TRUE
"NM_010698","Ldb2","Ldb2","Midbrain","15.5","15.5",1,"lower",0.2004,0.2004,0.000782452862785336,0.0343500000000003,0.0021139466799376,0.1866,TRUE,FALSE
"NM_182809","Ntrk3","Ntrk3","Midbrain","15.5","15.5",1,"higher",0.2558,0.2558,0.000803874048364186,0.0207999999999999,0.00148863654351512,0.1975,TRUE,TRUE
"NM_001039000","Kif5a","Kif5a","Midbrain","15.5","15.5",1,"lower",0.11875,0.11875,0.000821168721438672,0.0204500000000002,0.0015209306876731,0.1151,TRUE,TRUE
"NM_001145858","Sh3bp2","Sh3bp2","Midbrain","15.5","15.5",1,"higher",0.2194,0.2194,0.000835024699185164,0.00235,0.00225704832687409,0.2011,TRUE,FALSE
"NM_001033453","Pdp1","Pdp1","Midbrain","15.5","15.5",1,"higher",0.34475,0.34475,0.000839690945234105,0.0248,0.00357735103208704,0.2774,TRUE,FALSE
"NM_001166463","Spock1","Spock1","Midbrain","15.5","15.5",1,"higher",0.6542,0.6542,0.00084150700906495,0.03485,6.76893531654163e-11,0.5569,TRUE,TRUE
"NM_008990","Pvrl2","Pvrl2","Midbrain","15.5","15.5",1,"higher",0.1333,0.1333,0.000841649056918535,0.00769999999999998,0.00156288867862088,0.1155,TRUE,TRUE
"NM_008746","Ntrk3","Ntrk3","Midbrain","15.5","15.5",1,"lower",0.2558,0.2558,0.000850972854065359,0.0208000000000002,0.00148863654351512,0.1975,TRUE,TRUE
"NM_001199296","Acly","Acly","Midbrain","15.5","15.5",1,"higher",0.19115,0.19115,0.000851611750594623,0.0756500000000001,0.00158003033687841,0.1526,TRUE,TRUE
"NM_001164366","Atp13a2","Atp13a2","Midbrain","15.5","15.5",1,"lower",0.21345,0.21345,0.000854305236672009,0.0380500000000001,0.00158340496089776,0.1787,TRUE,TRUE
"NM_029097","Atp13a2","Atp13a2","Midbrain","15.5","15.5",1,"higher",0.21345,0.21345,0.000859434683153146,0.03805,0.00158340496089776,0.1787,TRUE,TRUE
"NM_001039520","Dnm2","Dnm2","Midbrain","15.5","15.5",1,"lower",0.195125,0.195125,0.000897457134530031,0.0558499999999998,0.00124337622001463,0.1622,TRUE,TRUE
"NM_001159724","Pvrl2","Pvrl2","Midbrain","15.5","15.5",1,"lower",0.1333,0.1333,0.000926512743601655,0.00770000000000004,0.00156288867862088,0.1155,TRUE,TRUE
"NM_134037","Acly","Acly","Midbrain","15.5","15.5",1,"lower",0.19115,0.19115,0.000945759267483746,0.0756500000000001,0.00158003033687841,0.1526,TRUE,TRUE
"NM_019942","Sept6","Sept6","Midbrain","15.5","15.5",1,"lower",0.1946,0.1946,0.000951398410160092,0.0129499999999999,0.00220405795772882,0.1477,TRUE,TRUE
"NM_001164053","Pkig","Pkig","Midbrain","15.5","15.5",1,"higher",0.1579,0.1579,0.00100219071015095,0.0083,0.00316695787205245,0.1394,TRUE,TRUE
"NM_008447","Kif5a","Kif5a","Midbrain","15.5","15.5",1,"higher",0.11875,0.11875,0.00103332713346526,0.02045,0.0015209306876731,0.1151,TRUE,TRUE
"NM_023429","Ociad1","Ociad1","Midbrain","15.5","15.5",1,"higher",0.11615,0.11615,0.00103864283040627,0.0553499999999998,0.00138205189324227,0.0932999999999999,TRUE,FALSE
"NM_001130165","Oxr1","Oxr1","Midbrain","15.5","15.5",1,"higher",0.3088,0.3088,0.00107641566365605,0.053,0.00293772548944848,0.2756,TRUE,FALSE
"NM_001290743","Ppp1r1c","Ppp1r1c","Midbrain","15.5","15.5",1,"lower",0.17435,0.17435,0.00107766156212517,0.0626,4.35219556085144e-08,0.1458,TRUE,FALSE
"NM_001079844","Gpc6","Gpc6","Midbrain","15.5","15.5",1,"lower",0.30195,0.30195,0.00107786796301556,0.0422999999999999,0.00201629069111758,0.2534,TRUE,TRUE
"NM_011821","Gpc6","Gpc6","Midbrain","15.5","15.5",1,"higher",0.30195,0.30195,0.00108288987372172,0.0423,0.00201629069111758,0.2534,TRUE,TRUE
"NM_001163024","Mon2","Mon2","Midbrain","15.5","15.5",1,"lower",0.2825,0.2825,0.00109955452264149,0.08475,0.0029931107395233,0.2309,TRUE,FALSE
"NM_001039158","Ube2j2","Ube2j2","Midbrain","15.5","15.5",1,"higher",0.1696,0.1696,0.00119175611099468,0.07605,0.00501053113835418,0.1692,TRUE,TRUE
"NM_021540","Rnf130","Rnf130","Midbrain","15.5","15.5",1,"higher",0.27085,0.27085,0.001200535944242,0.0708500000000001,5.87086039924464e-10,0.1753,TRUE,FALSE
"NM_011179","Psap","Psap","Midbrain","15.5","15.5",1,"lower",0.3212,0.3212,0.00120835530209497,0.0879000000000001,0.0059584291186316,0.26,TRUE,FALSE
"NM_134074","Dock9","Dock9","Midbrain","15.5","15.5",1,"higher",0.463925,0.463925,0.00121105889344163,0.0466,0.00420905932703882,0.421,TRUE,FALSE
"NR_045510","Fam19a5","Fam19a5","Midbrain","15.5","15.5",1,"higher",0.5433,0.5433,0.0012270236486761,0.02225,0.000542404541414836,0.1546,TRUE,FALSE
"NM_001291166","Apba2","Apba2","Midbrain","15.5","15.5",1,"higher",0.31325,0.31325,0.0012270236486761,0.04305,0.0033388805807979,0.2591,TRUE,TRUE
"NM_001025192","Cxadr","Cxadr","Midbrain","15.5","15.5",1,"lower",0.24645,0.24645,0.00124486310950398,0.0519500000000001,0.0033955729729595,0.1893,TRUE,TRUE
"NM_001171026","Os9","Os9","Midbrain","15.5","15.5",1,"higher",0.204025,0.204025,0.00124662295786201,0.02085,0.00234628449261904,0.1681,TRUE,TRUE
"NR_104434","Nr2c2ap","Nr2c2ap","Midbrain","15.5","15.5",1,"lower",0.3449,0.3449,0.0012515628346514,0.0438000000000001,0.00339718637023636,0.3009,TRUE,FALSE
"NM_001083936","Pth1r","Pth1r","Midbrain","15.5","15.5",1,"lower",0.2281,0.2281,0.00126652680212932,0.0236,0.00344302717208712,0.154,TRUE,TRUE
